post_id,text,images
8c1a4236-aa51-45cc-83b0-d64e032981bc,Décès de l'ancien président français Jacques Chirac à l'âge de 86 ans,images/post_0_0.jpg
9569c55c-7e5b-4361-8974-fa0ef2d6b7cb,"Jacques Chirac est décédé... 
Les Présidents 
Emmanuel Macron
 et 
François Hollande
 lui rendent hommage à leur manière",images/post_1_0.jpg
9c6d300f-7d13-4f0a-821c-1be617ee96f2,"Les Présidents 
Emmanuel Macron
 et 
François Hollande
 lui rendent hommage à leur manière",
dfd45bd4-1cf4-43d6-963b-40e0422b7fef,DÉCÈS DE JACQUES CHIRAC À L'AGE DE 86 ANS ANCIEN PRÉSIDENT DE LA REPUBLIQUE FRANÇAISE DE 1995 À 2007,images/post_3_0.jpg;images/post_3_1.jpg;images/post_3_2.jpg
7ab3b372-ee26-492b-ac43-4bcac4c76e3e,"Décès de JACQUES CHIRAC l'ancien Président de la République Française 
 à 86 ans.
« L’Inde, comme la Chine, est à mes yeux une des meilleures illustrations qui soient de la permanence des grandes cultures du monde dans tout ce qu’elles ont apporté à l’humanité d’intelligence, de connaissance et de spiritualité. »",images/post_4_0.jpg;images/post_4_1.jpg;images/post_4_2.jpg
86edc445-19e6-4558-b0ce-e48a0ee9348d,"Décès de JACQUES CHIRAC l'ancien Président de la République Française 
 à 86 ans.",
aa8c1009-b3b2-4b75-ada8-d8611e481e18,"« L’Inde, comme la Chine, est à mes yeux une des meilleures illustrations qui soient de la permanence des grandes cultures du monde dans tout ce qu’elles ont apporté à l’humanité d’intelligence, de connaissance et de spiritualité. »",
d724dab6-b16a-46f2-9cea-8b28e5455ea9,"Décès Jacques Chirac : « l'Afrique perd un ami et un partenaire formidable » (Roch Kaboré, président du Faso) 
Le président du Faso Roch Kaboré a réagi au décès jeudi de l’ancien président français Jacques Chirac (1995-2007) et premier ministre (1974-1976, 1986-1988). 
« Je viens d'apprendre avec tristesse le décès de l'ancien Président Français Jacques Chirac. Avec sa disparition, l'Afrique perd un ami et un partenaire formidable. Je présente mes sincères condoléances à sa… See more",images/post_7_0.jpg
ba8a282c-ebb3-4ad6-a24d-6d6eda61f187,"Décès Jacques Chirac : « l'Afrique perd un ami et un partenaire formidable » (Roch Kaboré, président du Faso)",
c88a6d64-633c-4c83-87f1-30b148c60c09,"Le président du Faso Roch Kaboré a réagi au décès jeudi de l’ancien président français Jacques Chirac (1995-2007) et premier ministre (1974-1976, 1986-1988).",
